from_account,to_account,amount,timestamp
a8e56e0c-20de-435d-2031-d750c40db9b4,1ee34dc4-3b04-8a8b-405b-fdc94e7ed827,16.77,2024-02-07 09:22:21
0267deb3-aab6-12c9-415d-174a75a66981,8dedf9fb-4bb0-0f20-b27c-40266703b636,101.12,2024-04-03 10:41:32
e6697833-b841-d0a0-1fe7-71d6d9178793,ca0ac6ac-0d67-d38e-990f-0c5badcc3daf,560.36,2024-04-18 04:25:25
cc9fd334-9bdf-0377-a149-23c2f920264c,2bcfbe01-a28d-efe3-9bf0-027312476f57,21.46,2024-01-02 20:39:43
e21342b0-f1ee-dba3-1343-2e611ca3c448,f94d6204-6808-593f-dfed-2c43e256a6dc,163.17,2024-06-22 21:15:11
a847bce7-90fa-6b57-24ac-2130deaf528d,b489d070-7914-f8a8-bea4-ff31517400f8,538.98,2024-05-26 11:14:00
f0ede303-aa53-c19c-dfa4-bb9f5a856750,5c941cf0-dc98-d2c1-e2ac-f72f9e574f7a,464.5,2024-04-04 14:17:00
17e8392a-55ce-e5db-9e87-e04ca2086977,c478f6f1-b88e-c318-c16d-83edad81f8bd,47.15,2024-02-04 11:35:59
9ef2b93e-30ac-7d7b-a2f9-63a33810ae66,19bc143e-fb02-bebb-4872-9a4d98c7472a,16.41,2024-02-13 22:36:48
bdf66ba5-dc9c-96de-65a6-74c212738a23,42deffcc-f86c-2ca2-e085-96db1d870966,479.38,2024-02-12 11:40:00
1a84a51a-a9d3-d7c7-ee87-905e4ca415ea,b3e4110a-45f5-0c52-2e2f-bf77076979d6,245.79,2024-05-30 14:14:48
bc0a6a5d-6e99-6e3e-e3b1-37fc0a3450fc,ab61a7b1-793b-4c32-2050-04943d114802,1768.57,2024-05-18 05:34:29
9458054e-c287-4f06-9050-f7efc1235c91,d8e88ebb-7a9e-8eef-ffa3-61be0f9240e1,249.33,2024-01-11 17:55:00
7428a656-b3ee-4d3b-5a10-412954aebd1b,22f235f2-e11b-868d-bf0d-073d821c1336,198.81,2024-02-09 10:38:33
11c58ef0-dd46-3c09-4752-87aa5408f9ac,bd767e35-f5c9-b047-9c10-c5720f6b40d0,121.56,2024-06-12 07:45:51
7e7e7419-a0c1-4035-c5d9-5f51f387e1bd,87f8424d-aae6-5fc1-76f2-dbfecd29a36f,204.17,2024-03-21 18:28:00
56ea57b3-beed-10b6-4f6e-274bdedab027,6aedfdc7-a3e0-5309-b5a1-b94967884209,114.49,2024-06-14 16:04:00
e8a3f341-c881-9065-ba2c-98ce0b19f88e,1a85910d-5a05-7c11-4ffc-a6b199b479d4,28.99,2024-05-15 06:02:58
1497d658-7010-f719-7e69-5d0d8a3c3b5e,4ab7706e-b773-50ca-eec2-59dc7f95897c,27.24,2024-01-24 17:58:34
b38a088c-a65e-d389-b74d-0fb132e70629,3dc98290-15ea-bb27-30e9-12f2f2b43abf,23.69,2024-05-21 18:48:01
9a36d1ec-2c6a-6e9a-3280-67a14187222b,3e49fd09-1b19-d8b8-d830-20816fcc57dd,374.0,2024-01-03 14:20:00
65c17795-b155-16bc-9f8d-ed9756abf2f1,ce7ae7f6-3982-0cff-4f77-a665ac3c5640,207.51,2024-02-25 05:18:58
43dac043-2a45-c2ab-8cbf-edb0f264accc,3985fb62-17dc-8eff-6872-13f98d605936,12.9,2024-04-23 22:49:42
3d1a85dd-506e-5a9a-b758-588dab73295b,a81fdec3-279c-658a-3676-0ce581e5c9f6,146.39,2024-04-23 08:04:49
1422373f-8622-68d1-6683-e10796c044d0,42c18a62-ef48-e8d5-50fd-9d3f85d51695,160.05,2024-02-27 12:24:00
0c0fd195-c17a-f08a-1745-d6d87e570ddf,7d106c60-8162-7cf1-4394-72e6da587e8a,5.23,2024-05-04 20:28:27
e05fb8bc-8a16-a06c-c958-e75e21d53971,65c17795-b155-16bc-9f8d-ed9756abf2f1,80.62,2024-03-23 15:52:08
e0c53cb8-3da9-c2a9-0ed4-2f1a3d4cbf37,54669d19-10df-9974-55ab-946da5b5cdc2,23.73,2024-02-28 17:47:11
14dd5061-5557-36f8-267e-ddcedf8f4197,a561e1e9-17ec-889c-86c1-b6cbe99630f7,11241.380000000001,2024-05-05 06:41:11
284d82e5-87f7-e1fb-da4b-d9caeb5cf467,19db3ad0-ddd1-dfb2-3b98-2ef8daf61a26,131.19,2024-02-13 08:07:03
6aedfdc7-a3e0-5309-b5a1-b94967884209,688c7015-aab9-7e49-4f2d-479681d2c7de,262.63,2024-02-24 10:49:00
ebd14d2c-75b2-7455-04cc-3ede6fac1673,284bf962-5744-f596-7422-21676b7a2460,158.17,2024-01-21 12:32:00
3602f8ac-10f1-bc81-448a-aa9e66b2bc5b,65c17795-b155-16bc-9f8d-ed9756abf2f1,306.03,2024-06-19 06:49:11
a3b5cece-a446-be72-364c-911aa9ab364a,6aedfdc7-a3e0-5309-b5a1-b94967884209,127.94,2024-02-23 03:39:00
1dde7969-6886-13db-a634-8e784d5c55c7,c1581092-f335-cba3-513a-7052986f9025,85.64,2024-04-27 16:17:25
0d77c5a0-e222-b6a6-15bf-be9798a21f1c,ebd14d2c-75b2-7455-04cc-3ede6fac1673,144.41,2024-03-01 10:00:00
f7dc67e0-3097-4b2b-46a0-2a9b65ec7acd,341c6494-0d36-6dfc-c28e-bd7071299889,108.71,2024-04-30 22:04:26
6a07f213-7129-cec7-9b69-554d7c54535f,2812859a-1337-739e-8d4f-5d272c7f0b79,522.82,2024-06-10 13:26:00
134a5a2f-a7cf-705c-c257-cf73c29d782b,48f1096d-9c4f-fb46-71b7-01aaf836f571,534.87,2024-01-17 13:09:00
e3236d1a-3c1b-dacc-18e1-93311dba1267,b7e6427c-bf78-0e3f-f6b7-51f79b749245,145.17,2024-04-04 02:06:07
0cbd3c03-9e2a-a4ac-c122-b5b3284c03d2,7d106c60-8162-7cf1-4394-72e6da587e8a,217.8,2024-04-13 13:15:00
